users;Longitude;Latitude;rideable_type;ride_length
casual;-87.616748;41.88094583;electric_bike;838
casual;-87.616764;41.881144;electric_bike;34
casual;-87.6167515;41.88099767;electric_bike;367
casual;-87.61675517;41.88093217;electric_bike;152
casual;-87.61673833;41.88094133;electric_bike;37
casual;-87.6167325;41.88091683;electric_bike;105
casual;-87.61676955;41.88100648;electric_bike;468
casual;-87.61677527;41.88095892;electric_bike;18
casual;-87.61675477;41.8811779;electric_bike;1771
casual;-87.61669383;41.88102;electric_bike;1065
casual;-87.61676067;41.88115483;electric_bike;477
casual;-87.6167605;41.881096;electric_bike;518
casual;-87.61671117;41.88110533;electric_bike;781
casual;-87.6167635;41.88110883;electric_bike;5787
casual;-87.61672517;41.88106867;electric_bike;1791
casual;-87.61675483;41.88096133;electric_bike;1887
casual;-87.61674433;41.88096317;electric_bike;1544
casual;-87.61676517;41.88094833;electric_bike;5120
casual;-87.61672333;41.8811795;electric_bike;986
casual;-87.61674333;41.88112883;electric_bike;1026
casual;-87.6167535;41.88096783;electric_bike;695
casual;-87.61679816;41.8810364;electric_bike;2256
casual;-87.61675317;41.88106833;electric_bike;1878
casual;-87.61672567;41.88115783;electric_bike;1698
casual;-87.6167075;41.8811795;electric_bike;722
casual;-87.61675417;41.8809375;electric_bike;1663
casual;-87.61678667;41.881017;electric_bike;1098
casual;-87.61675835;41.88107359;electric_bike;567
casual;-87.61677533;41.88106033;electric_bike;4013
casual;-87.61672117;41.880961;electric_bike;1300
casual;-87.61671167;41.88102517;electric_bike;3520
casual;-87.61675083;41.8810395;electric_bike;6930
casual;-87.6167531;41.88100398;electric_bike;984
casual;-87.61676817;41.88101517;electric_bike;1587
casual;-87.61676733;41.88109867;electric_bike;1796
casual;-87.61676617;41.881139;electric_bike;3657
casual;-87.61673967;41.8809695;electric_bike;113
casual;-87.61675617;41.88113483;electric_bike;936
casual;-87.6167105;41.88117267;electric_bike;1180
casual;-87.6167695;41.88113567;electric_bike;3025
casual;-87.61678481;41.88106585;electric_bike;1260
casual;-87.6167635;41.881071;electric_bike;1462
casual;-87.6167565;41.88094333;electric_bike;1292
casual;-87.6167345;41.8810075;electric_bike;268
casual;-87.61675983;41.88102717;electric_bike;74
casual;-87.616752;41.88104217;electric_bike;912
casual;-87.61671567;41.8809565;electric_bike;6
casual;-87.61678553;41.88117635;electric_bike;1197
casual;-87.6167465;41.88116433;electric_bike;2574
casual;-87.61674233;41.88101567;electric_bike;1483
casual;-87.61675525;41.881019;electric_bike;2623
casual;-87.6168;41.88111567;electric_bike;617
casual;-87.61672933;41.88108733;electric_bike;1792
casual;-87.61674767;41.88111183;electric_bike;716
casual;-87.61676983;41.88099;electric_bike;990
casual;-87.61672983;41.88102067;electric_bike;2626
casual;-87.616787;41.88099483;electric_bike;2352
casual;-87.61677194;41.88108647;electric_bike;2267
casual;-87.6167575;41.88108067;electric_bike;2478
casual;-87.6167078;41.88104534;electric_bike;1006
casual;-87.61675767;41.88105317;electric_bike;2644
casual;-87.61677517;41.88115;electric_bike;732
casual;-87.61674167;41.88106783;electric_bike;2706
casual;-87.61676991;41.8810879;electric_bike;750
casual;-87.61678133;41.8810555;electric_bike;2682
casual;-87.61678386;41.88094807;electric_bike;1012
casual;-87.61679041;41.88101471;electric_bike;2185
casual;-87.61679637;41.88102281;electric_bike;2128
casual;-87.61675033;41.88102433;electric_bike;1779
casual;-87.6167755;41.881092;electric_bike;1849
casual;-87.6166995;41.88099567;electric_bike;1883
casual;-87.61675549;41.88106656;electric_bike;3461
casual;-87.61676717;41.88108433;electric_bike;1619
casual;-87.61674845;41.88120544;electric_bike;3998
casual;-87.61675917;41.88115517;electric_bike;3931
casual;-87.61674467;41.881071;electric_bike;1625
casual;-87.6167365;41.88119667;electric_bike;1321
casual;-87.616761;41.8811685;electric_bike;1356
casual;-87.6167685;41.881112;electric_bike;2613
casual;-87.61676133;41.881168;electric_bike;2649
casual;-87.61674517;41.88095467;electric_bike;624
casual;-87.6167505;41.88094683;electric_bike;2190
casual;-87.61676765;41.88101149;electric_bike;2473
casual;-87.61675727;41.88103867;electric_bike;452
casual;-87.61675467;41.88101933;electric_bike;2239
casual;-87.61675517;41.881223;electric_bike;8316
casual;-87.61675233;41.880952;electric_bike;525
casual;-87.61672117;41.8811115;electric_bike;1056
casual;-87.61673633;41.88099217;electric_bike;2719
casual;-87.61676867;41.88112717;electric_bike;892
casual;-87.61675383;41.881148;electric_bike;1290
casual;-87.61675267;41.88104467;electric_bike;2949
casual;-87.61674867;41.88118983;electric_bike;652
casual;-87.61674433;41.880962;electric_bike;293
casual;-87.61674967;41.88116783;electric_bike;1004
casual;-87.61674083;41.88120967;electric_bike;507
casual;-87.61675933;41.881004;electric_bike;199
casual;-87.61674083;41.88100917;electric_bike;281
casual;-87.61676517;41.88106383;electric_bike;1236
casual;-87.61672083;41.88094717;electric_bike;4276
casual;-87.61673933;41.88097283;electric_bike;2232
casual;-87.61672767;41.881021;electric_bike;1319
casual;-87.61674367;41.88105683;electric_bike;1877
casual;-87.61678783;41.881134;electric_bike;3024
casual;-87.61674567;41.88098517;electric_bike;726
casual;-87.61671817;41.881026;electric_bike;3500
casual;-87.61670917;41.88106783;electric_bike;1727
casual;-87.61675517;41.881022;electric_bike;2263
casual;-87.616777;41.88107233;electric_bike;363
casual;-87.6167665;41.88093083;electric_bike;2404
casual;-87.616765;41.8811585;electric_bike;2187
casual;-87.61672817;41.88104733;electric_bike;2012
casual;-87.61680867;41.88101783;electric_bike;1811
casual;-87.61673;41.88117217;electric_bike;942
casual;-87.61676657;41.88118029;electric_bike;6461
casual;-87.61675966;41.88089049;electric_bike;516
casual;-87.61676217;41.8811985;electric_bike;1117
casual;-87.61673483;41.88095817;electric_bike;878
casual;-87.616734;41.880959;electric_bike;1430
casual;-87.61672417;41.88097367;electric_bike;1338
casual;-87.61670067;41.880947;electric_bike;1055
casual;-87.61673933;41.88095717;electric_bike;1412
casual;-87.61675883;41.88100483;electric_bike;1420
casual;-87.61673083;41.88107217;electric_bike;1092
casual;-87.61681117;41.88103567;electric_bike;902
casual;-87.61674917;41.88100967;electric_bike;1507
casual;-87.61679423;41.8811866;electric_bike;1416
casual;-87.61677563;41.88095677;electric_bike;1228
casual;-87.61674082;41.88108504;electric_bike;1710
casual;-87.6167245;41.880999;electric_bike;1774
casual;-87.6167605;41.88097967;electric_bike;842
casual;-87.61677733;41.88115;electric_bike;1802
casual;-87.61677133;41.88113117;electric_bike;1309
casual;-87.616777;41.88094233;electric_bike;5145
casual;-87.616714;41.881048;electric_bike;35
casual;-87.6167535;41.88097583;electric_bike;1447
casual;-87.61674667;41.88119733;electric_bike;175
casual;-87.61675417;41.881119;electric_bike;1780
casual;-87.616726;41.88093017;electric_bike;473
casual;-87.61675817;41.88115233;electric_bike;42
casual;-87.6167455;41.88095283;electric_bike;3676
casual;-87.61676083;41.881133;electric_bike;621
casual;-87.61673517;41.88102417;electric_bike;820
casual;-87.61675183;41.8810195;electric_bike;829
casual;-87.61671267;41.880909;electric_bike;1495
casual;-87.61678302;41.88118672;electric_bike;3897
casual;-87.6167755;41.8810185;electric_bike;12225
casual;-87.61677133;41.88101083;electric_bike;387
casual;-87.61676317;41.88091883;electric_bike;3122
casual;-87.61675867;41.88094283;electric_bike;55
casual;-87.61675817;41.881214;electric_bike;3818
casual;-87.61670113;41.88102126;electric_bike;1469
casual;-87.61674774;41.88106144;electric_bike;151
casual;-87.61678783;41.88094733;electric_bike;1145
casual;-87.61677117;41.88103783;electric_bike;3981
casual;-87.6167745;41.88095783;electric_bike;5045
casual;-87.6167565;41.880935;electric_bike;2058
casual;-87.6167685;41.88102083;electric_bike;1519
casual;-87.6167105;41.8809895;electric_bike;848
casual;-87.616694;41.88097833;electric_bike;46
casual;-87.61679167;41.88096033;electric_bike;1008
casual;-87.61676683;41.8810525;electric_bike;3780
casual;-87.61675867;41.88097133;electric_bike;1987
casual;-87.61675817;41.88115167;electric_bike;3068
casual;-87.6167285;41.88117333;electric_bike;514
casual;-87.61676183;41.88117533;electric_bike;4249
casual;-87.61676478;41.88114786;electric_bike;1365
casual;-87.6167465;41.88095683;electric_bike;1530
casual;-87.6167635;41.8811075;electric_bike;1957
casual;-87.61674433;41.881185;electric_bike;1940
casual;-87.61675847;41.88100028;electric_bike;3203
casual;-87.616748;41.88101333;electric_bike;4868
casual;-87.61675233;41.88115517;electric_bike;1816
casual;-87.6167575;41.88120483;electric_bike;1979
casual;-87.61676567;41.88121317;electric_bike;687
casual;-87.61676767;41.88103833;electric_bike;759
casual;-87.61671683;41.88099433;electric_bike;2274
casual;-87.616745;41.88093483;electric_bike;1868
casual;-87.61677867;41.88107483;electric_bike;3678
casual;-87.6167845;41.88114633;electric_bike;3684
casual;-87.6167375;41.88101417;electric_bike;4061
casual;-87.61675083;41.8809365;electric_bike;833
casual;-87.61670033;41.8811135;electric_bike;4302
casual;-87.61672;41.880968;electric_bike;1827
casual;-87.61674917;41.88093633;electric_bike;975
casual;-87.61674017;41.88100533;electric_bike;1680
casual;-87.61673433;41.88094817;electric_bike;1079
casual;-87.61677017;41.88094917;electric_bike;2374
casual;-87.61675533;41.88113383;electric_bike;784
casual;-87.616767;41.880985;electric_bike;1831
casual;-87.6167345;41.88120417;electric_bike;6441
casual;-87.61678;41.8811505;electric_bike;5447
casual;-87.61673784;41.88113093;electric_bike;550
casual;-87.61675286;41.88104045;electric_bike;1788
casual;-87.61676717;41.88107348;electric_bike;1964
casual;-87.61671167;41.88106167;electric_bike;926
casual;-87.61673617;41.88099417;electric_bike;1037
casual;-87.61672617;41.881011;electric_bike;602
casual;-87.61674833;41.88104567;electric_bike;573
casual;-87.6167305;41.880999;electric_bike;1233
casual;-87.616747;41.88109883;electric_bike;945
casual;-87.61675667;41.88096283;electric_bike;1029
casual;-87.61674285;41.88114214;electric_bike;593
casual;-87.61673567;41.881009;electric_bike;1809
casual;-87.61678117;41.881028;electric_bike;452
casual;-87.61669283;41.88093483;electric_bike;759
casual;-87.61675394;41.88095343;electric_bike;2588
casual;-87.61675617;41.8809795;electric_bike;682
casual;-87.61669483;41.88105167;electric_bike;2603
casual;-87.61669217;41.88118767;electric_bike;1214
casual;-87.616787;41.88111067;electric_bike;764
casual;-87.61677694;41.88094795;electric_bike;1103
casual;-87.61672583;41.8810635;electric_bike;521
casual;-87.61678283;41.88109167;electric_bike;922
casual;-87.61671583;41.88093083;electric_bike;644
casual;-87.61674383;41.88094883;electric_bike;2057
casual;-87.61677706;41.88116562;electric_bike;555
casual;-87.61678541;41.88114584;electric_bike;883
casual;-87.616726;41.88101267;electric_bike;2122
casual;-87.61676;41.88117633;electric_bike;966
casual;-87.61676417;41.88109033;electric_bike;730
casual;-87.61678733;41.881114;electric_bike;541
casual;-87.61675667;41.8809725;electric_bike;2587
casual;-87.61672867;41.88098083;electric_bike;553
casual;-87.6167695;41.88112167;electric_bike;886
casual;-87.6167605;41.88100317;electric_bike;968
casual;-87.61676717;41.88094167;electric_bike;1292
casual;-87.61674233;41.881133;electric_bike;1028
casual;-87.61670967;41.8811255;electric_bike;695
casual;-87.61677733;41.88100183;electric_bike;576
casual;-87.61675433;41.88119183;electric_bike;807
casual;-87.61675983;41.88113633;electric_bike;1944
casual;-87.61675072;41.8810209;electric_bike;1937
casual;-87.6167748;41.88120055;electric_bike;692
casual;-87.61677117;41.880947;electric_bike;2076
casual;-87.61675283;41.8810885;electric_bike;986
casual;-87.61675667;41.8811985;electric_bike;3489
casual;-87.61672167;41.8810655;electric_bike;4089
casual;-87.61672567;41.88121433;electric_bike;2533
casual;-87.61677277;41.8810128;electric_bike;1812
casual;-87.61674683;41.881033;electric_bike;2666
casual;-87.616777;41.88121733;electric_bike;525
casual;-87.61676083;41.88110117;electric_bike;1328
casual;-87.61677633;41.88095767;electric_bike;608
casual;-87.616754;41.8811425;electric_bike;1932
casual;-87.61679423;41.88090861;electric_bike;1840
casual;-87.616782;41.88113367;electric_bike;1034
casual;-87.616767;41.88119767;electric_bike;705
casual;-87.61672367;41.88111383;electric_bike;639
casual;-87.61678067;41.88117767;electric_bike;701
casual;-87.61673433;41.88112917;electric_bike;1366
casual;-87.61673833;41.8809925;electric_bike;1280
casual;-87.6167585;41.88101083;electric_bike;1265
casual;-87.61674183;41.8812015;electric_bike;1672
